item_id,S01,S02,S03,S04,audit_verdict
FS01,1,1,0,0,correct
FS02,1,1,0,0,correct
FS03,1,1,0,0,correct
FS04,0,1,0,0*,controversial
FS05,0,1,0*,1,controversial
FS06,0,1,0,0*,controversial
FS07,0,1,0,1,correct
FS08,0,1,0,1,correct
FS09,0,0*,1,0,controversial
FS10,0,1,1,1,correct
FS11,0,1,0*,0,controversial
FS12,0,1,0,1,correct
FS13,1,1,0,1,correct
FS14,0,1,0,0,correct
FS15,0,1,0*,1*,controversial
FS16,0,1,1,0,correct
FS17,0,1,0*,1,controversial
FS18,0,1,0*,1,controversial
FS19,0,1,1,0,correct
FS20,0,1,1,0,correct
