item_id,S01,S02,S03,S04,S05,S06,audit_verdict
FS01,1,0,1,0,0,0,correct
FS02,1,0,1,0,0,0,correct
FS03,1,0,1,0,0,0,correct
FS04,0,1,1*,1,0,1,controversial
FS05,1,0,1*,1,0,1,controversial
FS06,0,0,1,0,0,0,correct
FS07,0,1,1*,1,1,1,controversial
FS08,0,0,1,0,0,1,correct
FS09,0,1,1*,1,0,1,controversial
FS10,0,0,1*,1,1,1,controversial
FS11,0,1,1*,1,0,1,controversial
FS12,0,1,1*,1,0,1,controversial
FS13,1,0,1,1,1,1,correct
FS14,0,0,1,1,0,1,correct
FS15,0,1,1*,1,1,1,controversial
FS16,0,0,1,1,0,1,correct
FS17,0,0,1,1,1,1,correct
FS18,0,0,1*,1,1,1,controversial
FS19,0,1,1*,1,1,1,controversial
FS20,0,1,0,1,1,1,correct
