item_id,S01,S02,S03,S04,S05,S06,S07,audit_verdict
FS01,0,0,1,1,0,0,0,correct
FS02,0,0,1,1,0,0,0,correct
FS03,0,0,1,1,0,0,0,correct
FS04,1,0,0,1,0,0,0,correct
FS05,1,0,0,1,1,1,0,error
FS06,0,0,0,1,1,0,0,correct
FS07,1,1,0,1,0,0,0,correct
FS08,0,0,0,1,0,0,0,correct
FS09,1,1,0,1,0,0,0,correct
FS10,0,0,0,0,1,1,1,error
FS11,1,0,0,1,0,1,0,correct
FS12,1,0,0,1,0,1,0,correct
FS13,1,0,1,1,0,0,0,correct
FS14,0,0,0,1,0,0,1,correct
FS15,0,1,0,1,0,0,0,correct
FS16,0,0,0,0,0,0,1,correct
FS17,1,0,0,1,0,0,0,correct
FS18,1,0,0,1,1,1*,0,controversial
FS19,1,1,0,1,0,1,0,error
FS20,1,0,0,1,1,1*,0,controversial
