run_id,model,skill_id,original_name,definition,canonical_id,canonical_name,review_status,reviewer_note
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S01,Find common denominator,Determine the LCD of two unlike denominators and convert both fractions into equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S02,Subtract fraction numerators,Subtract the numerators of two fractions sharing a common denominator to obtain the fractional part of the result.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S03,Normalize improper fraction part,Convert a mixed number whose fractional part is improper (numerator ≥ denominator) into standard mixed-number form by carrying the extra unit into the whole part.,C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S04,Borrow/regroup for subtraction,"When the minuend's fraction is smaller than the subtrahend's, borrow one whole unit (as denominator/denominator) from the whole part and add it to the fraction before subtracting.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S05,Simplify to lowest terms,Reduce the resulting fraction by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S06,Subtract whole-number parts,Subtract the whole-number components of the two quantities (mixed numbers or whole numbers) to obtain the whole part of the result.,C3,Whole-number minuend/operand handling,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S01,Find LCD and convert fractions,Determine the least common denominator for two unlike-denominator fractions and convert both to equivalent fractions with that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S02,Subtract like-denominator pure fractions,Subtract the numerators of two same-denominator fractions that have no whole-number part.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S03,Separate and subtract whole/fraction parts,Decompose mixed numbers or whole numbers into whole and fractional components and subtract each component independently.,C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S04,Borrow across whole/fraction boundary,"When the fractional subtraction yields a negative result, reduce the whole part by 1 and add a full denominator's worth (d/d) to the fraction before subtracting again.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S05,Simplify fraction to lowest terms,Reduce a resulting fraction with a common factor greater than 1 between numerator and denominator to its simplest equivalent form.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S06,Normalize improper fractional part,Convert a mixed number whose fractional part is improper (numerator ≥ denominator) into standard mixed-number form before performing subtraction.,C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S01,Direct component subtraction,Subtract two aligned numeric values directly — whole-number parts and/or numerators that already share a common denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S02,Common denominator conversion,Find the LCD of two unlike denominators and convert both fractions into equivalent fractions with that denominator before subtracting.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S03,Borrow/regroup for subtraction,"When the fraction-part subtraction would be negative, borrow one whole unit (expressed as denominator/denominator) from the whole part and redo the fraction subtraction.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S04,Simplify to lowest terms,Reduce a resulting fraction by dividing numerator and denominator by their greatest common factor to express the answer in lowest terms.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S05,Normalize improper mixed-number part,Convert a mixed number whose fractional part has numerator ≥ denominator into standard mixed-number form (extracting whole units) before performing the subtraction.,C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S01,Common denominator conversion,Find the LCD of two unlike denominators and convert each fraction to an equivalent fraction with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S02,Numerator subtraction,Subtract the numerators of two fractions (or fractional parts of mixed numbers) that already share a common denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S03,Whole/fraction decomposition,Separate a mixed number (or treat a whole number as integer + 0/d) into whole and fractional parts and subtract the whole-number parts independently.,C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S04,Borrowing/regrouping,"When the fractional subtraction yields a negative result, regroup one whole unit from the minuend's whole part as d/d added to the fraction part, then re-subtract (repeating if still negative).",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S05,Simplify to lowest terms,Reduce the resulting fraction by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S01,Common Denominator Conversion,Find the least common denominator for two unlike denominators and convert both fractions to equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S02,Same-Denominator Numerator Subtraction,"Subtract the numerators of two fractions that already share a common denominator, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S03,Whole-Number Part Handling,"Separate and subtract the whole-number components of mixed numbers or whole numbers, including treating a bare whole number or fraction as a mixed number with a zero part, before combining with the fraction result.",C3,Whole-number minuend/operand handling,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S04,Borrow/Regroup for Negative Fraction Difference,"When the fraction-part subtraction is negative, borrow one whole unit (as denominator/denominator) from the whole-part result and redo the fraction subtraction, repeating if still negative.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S05,Simplify to Lowest Terms,Reduce a fractional result to lowest terms by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S06,Normalize Improper Fractional Part in Mixed Number,Correctly interpret and regroup a mixed number whose written fraction part is itself improper (numerator ≥ denominator) so its true value is used in subtraction.,C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S01,Common-denominator subtraction,"Subtract numerators once fractions share a common denominator, keeping that denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S02,LCD conversion,Find the least common denominator and convert fractions with unlike denominators into equivalent fractions before subtracting.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S03,Mixed-number decomposition,"Separate a mixed number (or treat a whole number as whole+0/d) into whole and fractional parts, subtract each part, and recombine the result.",C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S04,Borrowing/regrouping,"When the fractional subtraction yields a negative value, borrow one whole unit (expressed as d/d) and redo the fraction subtraction.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S05,Simplification to lowest terms,Reduce a fraction that is not already in lowest terms to its simplest equivalent form.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,S06,Improper mixed-number normalization,Convert a mixed number whose written fractional part is improper (numerator ≥ denominator) into a proper mixed number before performing subtraction.,C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S01,Direct numerator subtraction,"Subtract numerators when fractions share a common denominator, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S02,LCD conversion,Find the least common denominator of two unlike fractions and convert both to equivalent fractions with that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S03,Whole-part subtraction,Subtract the whole-number parts of two mixed numbers (or a whole number treated as whole+0/d) independently from the fractional parts.,C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S04,Borrowing/regrouping,"When the fractional subtraction would be negative, borrow 1 from the whole part (rewritten as d/d) and redo the fraction subtraction.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S05,Simplify to lowest terms,Reduce a fraction result to its lowest-terms equivalent by dividing numerator and denominator by their GCD.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,S06,Normalize improper fractional part,Convert a mixed number whose fractional part is improper (numerator ≥ denominator) into a proper mixed number before performing whole/fraction subtraction.,C6,Improper mixed-number normalization,draft_ai,
