item_id,M01,M02,M03,M04,audit_verdict
FS01,1,1,0,1*,controversial
FS02,1,1,0,1*,controversial
FS03,1,1,0,1*,controversial
FS04,1,1,0,1,correct
FS05,1,1,1,1,correct
FS06,0,1,0,1*,controversial
FS07,1,1,0,1,correct
FS08,0,1,1,1*,controversial
FS09,1,1,0,1,correct
FS10,0,1,1,1,correct
FS11,1,1,1,1*,controversial
FS12,0,1,1,1*,controversial
FS13,1,1,0,1,correct
FS14,0,1,0,1,correct
FS15,1,1,0,1,correct
FS16,0,1,0,1,correct
FS17,1*,1,0,1*,controversial
FS18,0,1,0,1,correct
FS19,1,1,0,1,correct
FS20,1,1,0,1,correct
