item_id,S01,S02,S03,S04,S05,S06,audit_verdict
FS01,0,1,1,0,0,0,correct
FS02,0,1,1,0,0,0,correct
FS03,0,1,1,0,0,0,correct
FS04,1,0,1,1,0,1,correct
FS05,0,1,1,1,0,1,correct
FS06,0,0,1,0,0,0,correct
FS07,1,0,1,1,1,1,correct
FS08,0,0,1,0,0,1,correct
FS09,1,0,1,1,0,1,correct
FS10,0,0,1,1,1,1,correct
FS11,1,0,1,1,0,1,correct
FS12,0,0,1,1,0,1,correct
FS13,0,1,1,1,1,1,correct
FS14,0,0,1,1,0,1,correct
FS15,1,0,1,1,1,1,correct
FS16,0,0,1,1,0,1,correct
FS17,0,0,1,0,0,1,correct
FS18,0,0,1,1,1,1,correct
FS19,1,0,1,1,1,1,correct
FS20,1,1*,1,1,1,1,controversial
