item_id,M01,M02,M03,M04,M05,audit_verdict
FS01,1,1,0,0,0,correct
FS02,1,1,0,0,0,correct
FS03,1,1,0,0,0,correct
FS04,1,0,1,0,1,correct
FS05,1,1*,1,0,1,controversial
FS06,0,1,0,0,1*,controversial
FS07,1,1*,1,1,1,controversial
FS08,0,1,0,0,1,correct
FS09,1,1*,1,0,1,controversial
FS10,0,1*,1,1,1,controversial
FS11,1,0,1,0,1,correct
FS12,1,1*,1,0,1,controversial
FS13,1,1,1,1,1,correct
FS14,0,1,1,0,1,correct
FS15,1,1*,1,1,1,controversial
FS16,0,1,1,0,1,correct
FS17,0,1,1,1,1,correct
FS18,0,1*,1,1,1,controversial
FS19,1,1*,1,1,1,controversial
FS20,1,1*,1,1,1,controversial
